player_id,player_name,team_id,position,position_group,cluster,n_clusters,silhouette_score
2,Jorge Eduardo Sanchez,1,DEF,DF,0,3,0.7661210240408605
3,César Jasib Montes,1,DEF,DF,1,3,0.7661210240408605
4,Edson Omar Alvarez,1,DEF,DF,2,3,0.7661210240408605
5,Johan Felipe Vasquez,1,DEF,DF,0,3,0.7661210240408605
15,Israel Reyes,1,DEF,DF,0,3,0.7661210240408605
20,Mateo Chavez,1,DEF,DF,0,3,0.7661210240408605
23,Jesús Daniel Gallardo,1,DEF,DF,0,3,0.7661210240408605
28,Tholo Thabang Matuludi,2,DEF,DF,0,3,0.7661210240408605
29,Khulumani Ndamane,2,DEF,DF,0,3,0.7661210240408605
32,Aubrey Maphosa Modiba,2,DEF,DF,0,3,0.7661210240408605
40,Mbekezeli Mfanufikile Mbokazi,2,DEF,DF,0,3,0.7661210240408605
44,Samukele Alucious Kabini,2,DEF,DF,0,3,0.7661210240408605
45,Nkosinathi Emmanuel Sibisi,2,DEF,DF,0,3,0.7661210240408605
46,Khuliso Johnson Mudau,2,DEF,DF,0,3,0.7661210240408605
47,Ime Daniel Okon,2,DEF,DF,0,3,0.7661210240408605
50,Olwethu Mpilwenhle Makhanya,2,DEF,DF,0,3,0.7661210240408605
52,Bradley Paul Cross,2,DEF,DF,0,3,0.7661210240408605
54,Hanbeom Lee,3,DEF,DF,0,3,0.7661210240408605
56,Minjae Kim,3,DEF,DF,0,3,0.7661210240408605
57,Taehyeon Kim,3,DEF,DF,0,3,0.7661210240408605
65,Taeseok Lee,3,DEF,DF,0,3,0.7661210240408605
66,Wije Cho,3,DEF,DF,0,3,0.7661210240408605
67,Moonhwan Kim,3,DEF,DF,0,3,0.7661210240408605
68,Jinseob Park,3,DEF,DF,0,3,0.7661210240408605
74,Youngwoo Seol,3,DEF,DF,0,3,0.7661210240408605
75,Jens Castrop,3,DEF,DF,0,3,0.7661210240408605
80,David Zima,4,DEF,DF,0,3,0.7661210240408605
81,Tomáš Holes,4,DEF,DF,0,3,0.7661210240408605
82,Robin Hranac,4,DEF,DF,0,3,0.7661210240408605
83,Vladimír Coufal,4,DEF,DF,0,3,0.7661210240408605
84,ě pán Chaloupek,4,DEF,DF,0,3,0.7661210240408605
85,Ladislav Krejci,4,DEF,DF,0,3,0.7661210240408605
92,David Jurasek,4,DEF,DF,0,3,0.7661210240408605
98,Jaroslav Zeleny,4,DEF,DF,0,3,0.7661210240408605
99,David Doudera,4,DEF,DF,0,3,0.7661210240408605
106,Alistair William Johnston,5,DEF,DF,0,3,0.7661210240408605
107,Alfie Charles Jones,5,DEF,DF,0,3,0.7661210240408605
108,Luc De Fougerolles,5,DEF,DF,0,3,0.7661210240408605
109,Joel Robert Waterman,5,DEF,DF,0,3,0.7661210240408605
117,Derek Austin Cornelius,5,DEF,DF,0,3,0.7661210240408605
119,Moïse Bombito Bombito,5,DEF,DF,0,3,0.7661210240408605
123,Alphonso Boyle Davies,5,DEF,DF,0,3,0.7661210240408605
